,SP500_MM_30,BOVESPA_MM_30,OURO_MM_30,PETROLEO_MM_30,FERRO_MM_30,DOLAR_MM_30,SELIC_MM_30,VALE_MM_30,SP500_FECHAMENTO_ANTERIOR,BOVESPA_FECHAMENTO_ANTERIOR,OURO_FECHAMENTO_ANTERIOR,PETROLEO_FECHAMENTO_ANTERIOR,FERRO_FECHAMENTO_ANTERIOR,DOLAR_FECHAMENTO_ANTERIOR,SELIC_FECHAMENTO_ANTERIOR,VALE_FECHAMENTO_ANTERIOR,RESULTADO
0,1201.1183333333333,70194.16666666667,1371.1366739908854,86.63533299763998,158.22666727701824,1.7065299948056538,10.75,50.49066670735677,1228.28,68175.0,1382.5,90.77,169.1,1.6884,10.75,50.85,6
1,1202.6976666666667,70137.46666666666,1372.9300048828125,86.88366622924805,158.9933339436849,1.706523327032725,10.75,50.541666666666664,1233.0,67879.0,1392.1,90.99,168.0,1.7016,10.75,51.41,0
2,1204.523,70057.53333333334,1374.47333984375,87.11099955240886,159.79000040690104,1.7067633271217346,10.75,50.5896666208903,1240.4,68342.0,1384.3,90.48,169.0,1.7109,10.75,52.05,0
3,1206.4566666666665,70009.43333333333,1376.9766764322917,87.3763328552246,160.6066670735677,1.7065966606140137,10.75,50.69799995422363,1240.46,69126.0,1397.3,91.19,169.0,1.7019,10.75,53.35,5
4,1208.3836666666668,69956.86666666667,1379.0266764322917,87.63033294677734,161.4566670735677,1.706053328514099,10.75,50.82266667683919,1241.59,68743.0,1403.6,91.21,169.5,1.6941,10.75,52.88,5
5,1210.1160000000002,69863.43333333333,1379.9733439127604,87.93199946085612,162.19000040690105,1.7059666593869527,10.75,50.920666758219404,1235.23,67870.0,1385.5,92.2,169.5,1.698,10.75,52.08,5
6,1212.0656666666666,69721.6,1380.6466796875,88.16833267211913,162.9566670735677,1.7059133251508076,10.75,50.98033332824707,1242.87,67306.0,1370.4,91.71,169.0,1.702,10.75,52.03,5
7,1213.5973333333334,69590.8,1382.0300130208334,88.34466603597005,163.47333374023438,1.7064499934514363,10.75,51.06299997965495,1243.91,67981.0,1378.6,91.67,169.0,1.709,10.75,52.17,5
8,1214.4646666666665,69399.73333333334,1382.1233479817708,88.50266596476237,163.89000040690104,1.7073266585667928,10.75,51.09066658020019,1247.08,67264.0,1385.5,92.74,169.0,1.7074,10.75,51.8,5
9,1215.423,69253.33333333333,1381.8200113932292,88.67233250935872,164.24666697184244,1.7079033255577087,10.75,51.13599993387858,1254.6,68215.0,1388.2,93.2,169.0,1.6966,10.75,52.43,5
10,1216.6093333333333,69113.8,1381.2866780598958,88.84533259073893,164.49000040690103,1.7078233242034913,10.75,51.1646666208903,1258.84,68471.0,1386.8,93.65,168.8,1.6938,10.75,52.29,5
11,1218.055,69007.36666666667,1380.2933430989583,89.04266586303712,164.71666717529297,1.7078699906667074,10.75,51.19366658528646,1256.77,68486.0,1380.0,94.25,168.8,1.6976,10.75,52.12,5
12,1219.349333333333,68879.53333333334,1379.736678059896,89.20566584269206,165.09333394368488,1.7073766589164734,10.75,51.17633323669433,1257.54,67803.0,1382.4,93.85,168.8,1.6914,10.75,50.64,5
13,1220.8483333333331,68774.4,1379.8066772460938,89.39133249918619,165.4200007120768,1.7063366572062175,10.75,51.136666488647464,1258.51,68041.0,1405.2,94.38,168.8,1.6858,10.75,50.19,5
14,1222.8673333333331,68727.23333333334,1381.3966756184896,89.65133260091146,165.86000061035156,1.7049699902534485,10.75,51.14033317565918,1259.78,68952.0,1413.1,94.14,169.0,1.678,10.75,50.54,5
15,1225.5186666666668,68731.0,1383.6400065104167,89.92999903361003,166.1500005086263,1.7028599898020427,10.75,51.184333165486656,1257.88,69305.0,1405.6,93.09,169.0,1.6654,10.75,50.73,5
16,1228.628,68739.43333333333,1386.5000040690104,90.31533228556314,166.53333384195963,1.7002333243687948,10.75,51.280999755859376,1271.87,69962.0,1422.6,94.84,170.0,1.6502,10.75,52.23,5
17,1231.0783333333334,68724.0,1387.3533365885417,90.59799880981446,167.00333404541016,1.698276658852895,10.75,51.36966641743978,1270.2,70318.0,1378.5,93.53,172.1,1.6548,10.75,53.31,0
18,1233.6393333333333,68730.43333333333,1388.0600056966146,90.96999893188476,167.50333404541016,1.6966899951299033,10.75,51.48433303833008,1276.56,71091.0,1373.4,95.5,174.5,1.6705,10.75,54.28,0
19,1236.1729999999998,68761.96666666666,1388.5166748046875,91.32199885050456,167.95333404541014,1.6954299966494242,10.75,51.58033307393392,1273.85,70579.0,1371.4,94.52,173.5,1.6849,10.75,53.58,0
20,1239.1986666666667,68832.1,1388.2166748046875,91.6579989115397,168.37000071207683,1.6938466628392537,10.75,51.70566647847493,1271.5,70057.0,1368.5,93.33,173.5,1.6853,10.75,53.18,0
21,1241.5786666666668,68848.7,1388.243339029948,91.98666559855143,168.77000071207684,1.6927299976348877,10.75,51.78599993387858,1269.75,70127.0,1373.7,95.7,173.5,1.6904,10.75,53.08,0
22,1244.4146666666668,68921.93333333333,1388.966670735677,92.38766555786133,169.23666737874348,1.6913599967956543,10.75,51.92066663106282,1274.48,70423.0,1384.0,97.61,175.0,1.6879,10.75,53.63,0
23,1247.6879999999999,69046.1,1389.6233357747396,92.7469991048177,169.75333404541016,1.6896999955177308,10.75,52.10133323669434,1285.96,71633.0,1385.7,98.12,176.0,1.6765,10.75,55.12,0
24,1251.1283333333336,69146.63333333333,1389.686669921875,93.15166575113932,170.27000071207684,1.6881666620572409,10.75,52.288666534423825,1283.76,70721.0,1386.9,98.06,176.0,1.6693,10.75,54.73,4
25,1254.0339999999999,69199.76666666666,1388.7900024414062,93.47866566975911,170.6933339436849,1.6874699989954631,10.75,52.43099988301595,1293.24,70940.0,1360.4,98.68,179.5,1.6835,10.75,54.97,4
26,1256.0469999999998,69217.46666666666,1388.180000813802,93.72766571044922,171.09333394368488,1.6864199995994569,10.766666666666667,52.55399983723958,1281.92,70058.0,1370.2,98.16,179.0,1.6706,11.25,54.94,0
27,1257.8986666666667,69210.66666666667,1386.2166666666667,93.89966583251953,171.42666727701823,1.6857466657956441,10.783333333333333,52.624999872843425,1280.26,69562.0,1346.5,96.58,178.0,1.6707,11.25,54.02,0
28,1259.9063333333334,69196.7,1383.7399983723958,94.10466588338217,171.72666727701824,1.6853699962298074,10.8,52.70066655476888,1283.35,69133.0,1341.0,97.6,178.0,1.6715,11.25,54.39,3
29,1262.1426666666666,69199.66666666667,1381.613330078125,94.27866592407227,172.03000081380208,1.685343329111735,10.816666666666666,52.79233322143555,1290.84,69427.0,1344.5,96.61,179.0,1.6723,11.25,54.75,3
30,1264.4209999999998,69217.46666666666,1379.963330078125,94.51666615804037,172.36000061035156,1.6846766630808512,10.833333333333334,52.920999908447264,1296.63,68709.0,1333.0,97.91,179.0,1.6684,11.25,54.71,0
31,1266.639,69223.2,1377.5066650390625,94.72999954223633,172.7433339436849,1.6836633324623107,10.85,53.01266657511393,1299.54,68051.0,1318.4,97.39,179.5,1.6712,11.25,54.16,3
32,1267.837,69168.4,1376.053328450521,95.02799936930339,173.09333394368488,1.6825466672579448,10.866666666666667,53.03133328755697,1276.34,66698.0,1340.7,99.42,179.5,1.6774,11.25,52.61,0
33,1269.359,69083.36666666667,1373.936661783854,95.35533269246419,173.44666748046876,1.681570001443227,10.883333333333333,53.00699996948242,1286.12,66575.0,1333.8,101.01,179.6,1.6726,11.25,52.62,3
34,1271.559,69053.5,1371.803328450521,95.70633265177409,173.89666748046875,1.6805100003878275,10.9,53.04166653951009,1307.59,67847.0,1339.6,101.74,183.0,1.6623,11.25,53.92,3
35,1273.852333333333,69014.1,1370.003328450521,96.04433263142904,174.38000081380207,1.6794533371925353,10.916666666666666,53.06933314005534,1304.03,66688.0,1331.5,102.34,184.0,1.6663,11.25,52.91,3
36,1275.9933333333333,68996.06666666667,1369.3999959309897,96.3793327331543,174.86333414713542,1.6783500035603842,10.933333333333334,53.09466654459636,1307.1,66765.0,1352.3,101.76,183.5,1.6689,11.25,52.79,3
37,1278.225333333333,68905.66666666667,1368.389998372396,96.65133285522461,175.34666748046874,1.6771500031153361,10.95,53.086666615804035,1310.87,65269.0,1348.3,99.83,183.5,1.673,11.25,51.93,3
38,1280.6243333333334,68842.26666666666,1367.1266642252604,96.86833292643229,175.8733342488607,1.6761300047238668,10.966666666666667,53.10399996439616,1319.05,65362.0,1347.6,99.25,184.8,1.6768,11.25,52.32,3
39,1282.9566666666665,68760.8,1366.3,97.0923329671224,176.42333424886067,1.6752533396085103,10.983333333333333,53.086666615804035,1324.57,65771.0,1363.4,99.92,185.5,1.6703,11.25,51.91,0
40,1285.0246666666667,68619.03333333334,1365.5666666666666,97.36466623942057,176.9800008138021,1.6742433389027913,11.0,53.02133331298828,1320.88,64218.0,1364.8,101.82,185.5,1.6635,11.25,50.33,0
41,1287.1946666666665,68488.76666666666,1364.9633341471354,97.58533299763998,177.62000071207683,1.6732300043106079,11.016666666666667,52.983333333333334,1321.87,64578.0,1361.9,100.87,188.0,1.6672,11.25,50.98,1
42,1289.5816666666667,68420.53333333334,1364.2133341471354,97.8379997253418,178.26000061035157,1.6724200010299684,11.033333333333333,53.03000005086263,1329.15,65756.0,1359.9,101.43,188.0,1.6671,11.25,52.04,3
43,1292.0420000000001,68371.1,1362.860001627604,98.12799987792968,178.91666717529296,1.6718033353487651,11.05,53.12533340454102,1332.32,66558.0,1364.6,103.08,188.5,1.6673,11.25,53.05,0
44,1294.3163333333332,68284.06666666667,1361.5433349609375,98.37799987792968,179.5800003051758,1.6714500029881796,11.066666666666666,53.20300000508626,1328.01,66341.0,1373.6,101.64,188.9,1.6674,11.25,52.87,1
45,1296.9309999999998,68226.26666666666,1360.5133341471353,98.73433329264323,180.2066670735677,1.671590002377828,11.083333333333334,53.29133338928223,1336.32,67571.0,1374.7,103.78,187.8,1.6696,11.25,53.38,3
46,1299.2163333333333,68150.36666666667,1359.25,98.99266662597657,180.79000040690104,1.6720933357874552,11.1,53.332000096639,1340.43,67685.0,1384.7,102.59,187.5,1.6653,11.25,53.45,3
47,1301.6433333333332,68075.33333333333,1359.573331705729,99.29233322143554,181.30333353678387,1.6724966684977214,11.116666666666667,53.31866671244303,1343.01,68067.0,1388.2,102.52,187.5,1.6669,11.25,52.91,3
48,1302.9393333333333,67920.3,1360.4766642252605,99.6349998474121,181.7433334350586,1.672433332602183,11.133333333333333,53.19866676330567,1315.44,66440.0,1400.5,105.78,187.7,1.6686,11.25,50.68,3
49,1304.0576666666668,67798.0,1361.8766642252604,100.19266662597656,182.2133336385091,1.671976665655772,11.15,53.13333333333333,1307.4,66910.0,1413.4,111.25,187.6,1.6712,11.25,51.62,0
50,1305.211,67694.4,1363.4366658528645,100.79366658528646,182.68000030517578,1.6712700009346009,11.166666666666666,53.06633326212565,1306.1,66949.0,1415.3,111.36,187.5,1.6641,11.25,51.17,0
51,1306.882,67586.93333333333,1364.6033325195312,101.34166666666667,183.14666697184245,1.670313334465027,11.183333333333334,53.00833320617676,1319.88,66903.0,1408.7,112.14,187.5,1.6617,11.25,51.34,0
52,1308.6399999999999,67485.6,1365.4466674804687,101.81466674804688,183.55333353678387,1.6693966706593832,11.2,52.95066655476888,1327.22,67383.0,1409.3,111.8,187.2,1.6604,11.25,51.9,0
53,1309.319,67305.93333333333,1366.9466674804687,102.39133326212566,183.46666666666667,1.6689100066820781,11.216666666666667,52.81066652933757,1306.33,66243.0,1430.7,115.42,173.4,1.6619,11.25,50.92,0
54,1310.1416666666667,67191.3,1368.6233317057292,103.0009999593099,183.33333333333334,1.6686066746711732,11.233333333333333,52.712666575113936,1308.44,67282.0,1437.2,116.35,172.0,1.6602,11.25,51.79,0
55,1311.3993333333333,67098.16666666667,1370.4766642252605,103.53799997965494,183.11666666666667,1.6676133394241333,11.266666666666667,52.61933314005534,1330.97,68146.0,1416.0,114.79,173.0,1.6537,11.75,52.17,3
56,1312.7069999999999,67029.96666666666,1372.4099975585937,104.13166656494141,182.96666666666667,1.6667733391125996,11.283333333333333,52.497999827067055,1321.15,68012.0,1428.2,115.97,174.5,1.6454,11.75,51.3,0
57,1314.0323333333333,66953.36666666667,1375.1699991861979,104.7769999186198,182.66000010172527,1.6662533402442932,11.3,52.34499982198079,1320.02,67264.0,1429.3,115.94,168.8,1.6551,11.75,49.43,3
58,1314.4243333333334,66850.3,1377.543330891927,105.37133331298828,182.32000020345052,1.6658833424250286,11.316666666666666,52.13299980163574,1295.11,66041.0,1412.2,115.43,167.8,1.6604,11.75,48.03,3
59,1314.8723333333332,66758.9,1380.1099975585937,105.94566650390625,181.82000020345052,1.6656100114186605,11.333333333333334,51.930999755859375,1304.28,66685.0,1421.5,113.84,164.0,1.6641,11.75,48.69,3
60,1314.8643333333334,66707.56666666667,1383.163330078125,106.47099965413412,181.29000040690104,1.6654066761334738,11.35,51.735999806722006,1296.39,67169.0,1424.6,113.67,163.1,1.6623,11.75,48.86,3
61,1314.2753333333333,66672.7,1385.6366617838542,106.84199956258138,180.76000061035157,1.6653133432070415,11.366666666666667,51.52999979654948,1281.87,67005.0,1392.6,108.52,163.6,1.6684,11.75,47.98,3
62,1313.6266666666668,66649.53333333334,1387.4799967447916,107.2153330485026,180.36666717529297,1.664953343073527,11.383333333333333,51.33566640218099,1256.88,66003.0,1396.0,110.62,167.7,1.6666,11.75,46.78,3
63,1313.2133333333334,66637.56666666667,1389.8199951171875,107.67833302815755,180.01333363850912,1.66503001054128,11.4,51.18533312479655,1273.72,66216.0,1404.0,114.9,169.0,1.6749,11.75,48.11,3
